ItemId,BitAllocationProtocol,Na,ma,NumGroups,TaskSize,CM_NumExcBits,CI_MeanNumExcBits,CI_StdNumExcBits
1,RedundNoRepBits,3,30,10,20,0.0,0.0,0.0
1,RedundNoRepBits,3,30,50,20,0.0,0.0,0.0
1,RedundNoRepBits,3,30,100,20,0.0,0.0,0.0
1,RedundNoRepBits,3,30,500,20,0.0,0.0,0.0
1,RedundNoRepBits,3,30,1000,20,0.0,0.0,0.0
1,RedundNoRepBits,3,30,5000,20,0.0,0.0,0.0
1,RedundNoRepBits,3,30,10000,20,0.0,0.0,0.0
1,RedundNoRepBits,3,30,20000,20,0.0,0.0,0.0
2,RedundNoRepBits,3,8,10,20,0.0,3.8,1.2489995996796797
2,RedundNoRepBits,3,8,50,20,0.0,3.88,1.2270289320142374
2,RedundNoRepBits,3,8,100,20,0.0,4.39,1.2719669807035086
2,RedundNoRepBits,3,8,500,20,0.0,4.258,1.2391271121236918
2,RedundNoRepBits,3,8,1000,20,0.0,4.351,1.2537140822372541
2,RedundNoRepBits,3,8,5000,20,0.0,4.319,1.2526926997472285
2,RedundNoRepBits,3,8,10000,20,0.0,4.3146,1.2569911853310667
2,RedundNoRepBits,3,8,20000,20,0.0,4.3269,1.2626307417451867
3,RedundNoRepBits,3,3,10,20,11.0,12.3,0.6403124237432849
3,RedundNoRepBits,3,3,50,20,11.0,12.46,0.8296987405076616
3,RedundNoRepBits,3,3,100,20,11.0,12.32,0.915204895091804
3,RedundNoRepBits,3,3,500,20,11.0,12.242,0.862227348209276
3,RedundNoRepBits,3,3,1000,20,11.0,12.327,0.894466880325929
3,RedundNoRepBits,3,3,5000,20,11.0,12.2702,0.8824919036455803
3,RedundNoRepBits,3,3,10000,20,11.0,12.2819,0.8810405155269535
3,RedundNoRepBits,3,3,20000,20,11.0,12.28455,0.8805005948322807
4,RedundNoRepBits,6,3,10,20,2.0,7.4,0.8
4,RedundNoRepBits,6,3,50,20,2.0,7.46,1.4725488107359974
4,RedundNoRepBits,6,3,100,20,2.0,7.6,1.319090595827292
4,RedundNoRepBits,6,3,500,20,2.0,7.604,1.3458023629047469
4,RedundNoRepBits,6,3,1000,20,2.0,7.545,1.2719964622592315
4,RedundNoRepBits,6,3,5000,20,2.0,7.556,1.3151669095593912
4,RedundNoRepBits,6,3,10000,20,2.0,7.556,1.3283312839800168
4,RedundNoRepBits,6,3,20000,20,2.0,7.54765,1.329860698531993
5,RedundNoRepBits,9,8,10,20,0.0,0.2,0.4000000000000001
5,RedundNoRepBits,9,8,50,20,0.0,0.1,0.3
5,RedundNoRepBits,9,8,100,20,0.0,0.16,0.36660605559646725
5,RedundNoRepBits,9,8,500,20,0.0,0.226,0.45926462959823067
5,RedundNoRepBits,9,8,1000,20,0.0,0.213,0.4400352258626575
5,RedundNoRepBits,9,8,5000,20,0.0,0.2018,0.4278747012853179
5,RedundNoRepBits,9,8,10000,20,0.0,0.2006,0.42960405026023674
5,RedundNoRepBits,9,8,20000,20,0.0,0.2007,0.4349936896094011
6,RedundNoRepBits,14,14,10,20,0.0,0.0,0.0
6,RedundNoRepBits,14,14,50,20,0.0,0.0,0.0
6,RedundNoRepBits,14,14,100,20,0.0,0.0,0.0
6,RedundNoRepBits,14,14,500,20,0.0,0.0,0.0
6,RedundNoRepBits,14,14,1000,20,0.0,0.0,0.0
6,RedundNoRepBits,14,14,5000,20,0.0,0.0,0.0
6,RedundNoRepBits,14,14,10000,20,0.0,0.0,0.0
6,RedundNoRepBits,14,14,20000,20,0.0,0.0,0.0
7,RedundNoRepBits,30,30,10,20,0.0,0.0,0.0
